Eleicao;Município;Candidato - nome completo;Candidato - nome de urna;Gênero;Partido; Coligação;Votos;Percentual;Situação
Eleições Municipais 2020;MURIAÉ;JOANA PAULA PINTO;JOANA PAULA;FEMININO;PSB;PSB;39;0,07;Suplente
Eleições Municipais 2020;MURIAÉ;MARIO LUCIO DE MORAIS;MARIO DO FERRO VELHO;MASCULINO;PSB;PSB;39;0,07;Suplente
Eleições Municipais 2020;MURIAÉ;ELISANGELA GON«ALVES DA SILVA CABRAL;ELISANGELA GON«ALVES;FEMININO;PT;PT;38;0,07;Não eleito
Eleições Municipais 2020;MURIAÉ;THAIS GON«ALVES DA SILVA ROCHA OLIVEIRA;THAIS ROCHA;FEMININO;PSB;PSB;37;0,07;Suplente
Eleições Municipais 2020;MURIAÉ;ALEX SANDER MARIO GON«ALVES;LEQUINHA;MASCULINO;PDT;PDT;36;0,06;Suplente
Eleições Municipais 2020;MURIAÉ;ALBINO PINTO DA ROCHA;ALBINO CORREDOR;MASCULINO;AVANTE;AVANTE;36;0,06;Não eleito
Eleições Municipais 2020;MURIAÉ;ROBERTO CARLOS DE SOUZA;ROBERTO BAIANO;MASCULINO;PTB;PTB;34;0,06;Suplente
Eleições Municipais 2020;MURIAÉ;CRISTIANO DOM CARMO NETTO;GOD‘;MASCULINO;AVANTE;AVANTE;34;0,06;Não eleito
Eleições Municipais 2020;MURIAÉ;MARCIO BITTENCOURT AD√O;MARCIO GARI;MASCULINO;PL;PL;34;0,06;Suplente
Eleições Municipais 2020;MURIAÉ;ROMYLSON FREITAS OLIVEIRA;ROMYLSON OLIVEIRA;MASCULINO;PSB;PSB;33;0,06;Suplente
Eleições Municipais 2020;MURIAÉ;TATIANA VELASCO DA SILVA;TATIANA VELASCO;FEMININO;PTB;PTB;33;0,06;Suplente
Eleições Municipais 2020;MURIAÉ;FABIO HENRIQUE PEREIRA;FABIO OHANY MULATO;MASCULINO;AVANTE;AVANTE;33;0,06;Não eleito
Eleições Municipais 2020;MURIAÉ;L⁄CIA HELENA SOARES CHAVES;L⁄CIA HELENA CHAVES;FEMININO;PTB;PTB;33;0,06;Suplente
Eleições Municipais 2020;MURIAÉ;CLOVIS FELIN DOMINGOS FILHO;CLOVINHO DAS ANTENAS;MASCULINO;AVANTE;AVANTE;32;0,06;Não eleito
